import time: self [us] | cumulative | imported package
import time:       555 |        555 |                                     importlib.metadata._itertools
import time:       779 |        779 |                                             importlib.resources.abc
import time:      5889 |       5889 |                                             importlib.resources._adapters
import time:     11660 |      18328 |                                           importlib.resources._common
import time:       585 |        585 |                                           importlib.resources._legacy
import time:     13086 |      31998 |                                         importlib.resources
import time:        32 |      32029 |                                       importlib.resources.abc
import time:     21285 |      53314 |                                     importlib.abc
import time:     56232 |     200514 |                                   importlib.metadata
import time:     11653 |     212167 |                                 torch.utils._pytree
import time:      8967 |     221134 |                               torch._vmap_internals
import time:       916 |        916 |                                   torch.utils._contextlib
import time:      1316 |       2232 |                                 torch.autograd.grad_mode
import time:      1566 |       3797 |                               torch.autograd.forward_ad
import time:      7186 |       7186 |                               torch.autograd.functional
import time:       877 |        877 |                                 torch.autograd.variable
import time:      5779 |       6656 |                               torch.autograd.graph
import time:       809 |        809 |                               torch.autograd.anomaly_mode
import time:      1003 |       1003 |                                 torch._functorch
import time:       962 |        962 |                                       torch.utils._exposed_in
import time:      5775 |       6736 |                                     torch._functorch.utils
import time:      1004 |       1004 |                                     torch._functorch.vmap
import time:     11840 |      19579 |                                   torch._functorch.apis
import time:      7626 |       7626 |                                     torch._functorch.pyfunctorch
import time:      7894 |      15520 |                                   torch._ops
import time:     16069 |      51167 |                                 torch._functorch.autograd_function
import time:      8642 |      60811 |                               torch.autograd.function
import time:       855 |        855 |                                   torch.testing._utils
import time:        66 |         66 |                                     cmath
import time:      1776 |       1841 |                                   torch.testing._comparison
import time:      1133 |       1133 |                                   torch.testing._creation
import time:     20218 |      24046 |                                 torch.testing
import time:      1630 |      25676 |                               torch.autograd.gradcheck
import time:       718 |        718 |                                   _uuid
import time:       917 |       1635 |                                 uuid
import time:      1357 |       1357 |                                 torch.autograd.profiler_util
import time:     14274 |      17266 |                               torch.autograd.profiler
import time:     23470 |     366801 |                             torch.autograd
import time:        23 |     366823 |                           torch.autograd.function
import time:       948 |     367771 |                         torch.nn.modules._functions
import time:      7246 |     375016 |                       torch.nn.modules.batchnorm
import time:       856 |        856 |                       torch.nn.modules.channelshuffle
import time:      1581 |       1581 |                         torch.nn.common_types
import time:      6542 |       8123 |                       torch.nn.modules.conv
import time:       962 |        962 |                       torch.nn.modules.distance
import time:      1054 |       1054 |                       torch.nn.modules.dropout
import time:       959 |        959 |                       torch.nn.modules.flatten
import time:       899 |        899 |                       torch.nn.modules.fold
